arm,R,U,rate_loss_pct,e2e_p50_us,e2e_p99_us,n
reserved,1,1,-5.396,95.40,113.70,10000
reserved,1,4,-4.127,333.60,369.70,10000
reserved,1,16,-4.010,964.00,1338.00,10000
reserved,2,1,-2.655,98.30,116.30,10000
reserved,2,4,-2.486,183.30,206.80,10000
reserved,2,16,-1.285,672.30,727.60,10000
reserved,4,1,-1.115,99.60,119.30,10000
reserved,4,4,-0.945,106.20,122.20,10000
reserved,4,16,0.220,359.20,393.10,10000
reserved,8,1,0.327,99.80,118.80,10000
reserved,8,4,0.439,106.20,122.10,10000
reserved,8,16,0.492,195.30,215.40,10000
reserved,16,1,0.763,98.90,118.20,10000
reserved,16,4,0.763,105.60,121.20,10000
reserved,16,16,0.816,111.90,125.40,10000
reserved,32,1,1.410,99.10,118.20,10000
reserved,32,4,1.410,105.30,120.70,10000
reserved,32,16,1.462,111.30,124.90,10000
coop,-,1,2.881,22.53,37.89,9900
coop,-,4,2.977,24.58,68.61,9900
coop,-,16,3.362,40.96,79.87,9900
