blocks,poll_every,lat_p50_us,lat_p99_us,lat_excl0_p50_us,lat_excl0_p99_us,first_obs_p50_us,overhead_pct,setter_last_pct,anomalies
16,1,10.240,11.260,8.190,11.260,3.072,0.909,89.576,0
16,2,19.460,21.500,18.430,21.500,3.072,1.929,47.384,0
16,4,37.890,40.960,36.860,40.960,4.096,1.509,26.030,0
16,8,74.750,79.870,73.730,79.870,6.144,1.275,17.646,0
36,1,10.240,11.260,10.240,11.260,1.024,0.890,68.485,0
36,2,20.480,21.500,19.460,21.500,2.048,1.925,43.232,0
36,4,38.910,40.960,38.910,40.960,2.048,1.477,24.343,0
36,8,76.800,79.870,76.800,79.870,3.072,1.267,13.172,0
72,1,11.260,12.290,11.260,12.290,1.024,-10.899,44.253,0
72,2,21.500,23.550,21.500,23.550,1.024,-9.809,19.020,0
72,4,41.980,46.080,40.960,46.080,2.048,-10.358,11.859,0
72,8,81.920,90.110,81.920,90.110,2.048,-10.519,6.848,0
144,1,16.380,20.480,16.380,20.480,1.024,-0.140,0.414,0
144,2,32.770,37.890,32.770,37.890,1.024,0.215,0.081,0
144,4,63.490,76.800,63.490,76.800,2.048,-0.221,0.000,0
144,8,125.950,140.290,125.950,140.290,2.048,0.003,0.010,0
216,1,33.790,40.960,33.790,40.960,2.048,-0.305,0.000,0
216,2,64.510,77.820,64.510,77.820,2.048,-0.398,0.000,0
216,4,126.980,162.820,126.980,162.820,2.048,-0.365,0.000,0
216,8,251.900,325.630,251.900,325.630,2.048,-0.352,0.000,0
288,1,68.610,90.110,68.610,90.110,2.048,-0.102,0.000,0
288,2,133.120,166.910,133.120,166.910,2.048,-0.091,0.000,0
288,4,262.140,330.750,262.140,330.750,2.048,-0.102,0.000,0
288,8,520.190,603.140,520.190,603.140,2.048,-0.079,0.000,0
