blocks,poll_every,lat_excl0_p50_us,lat_excl0_p99_us,overhead_pct
16,1,9.220,11.260,3.018
16,2,17.410,20.480,2.110
16,4,35.840,39.940,1.640
16,8,72.700,78.850,1.376
36,1,10.240,11.260,3.006
36,2,19.460,20.480,2.123
36,4,38.910,39.940,1.625
36,8,76.800,78.850,1.368
72,1,11.260,12.290,1.324
72,2,21.500,23.550,0.693
72,4,41.980,46.080,-2.381
72,8,81.920,90.110,-2.933
144,1,16.380,18.430,0.969
144,2,31.740,36.860,0.505
144,4,62.460,69.630,0.179
144,8,123.900,138.240,0.081
216,1,32.770,37.890,-0.214
216,2,62.460,71.680,-0.393
216,4,122.880,142.340,-0.398
216,8,243.710,303.100,-0.448
288,1,64.510,86.020,0.039
288,2,129.020,153.600,-0.077
288,4,254.980,306.180,-0.797
288,8,503.810,611.330,-0.561
