blocks,poll_every,n,spread_p50_us,spread_p95_us,spread_p99_us,first_p50_us,first_p99_us
16,1,9900,7.170,9.220,10.240,3.072,8.192
16,2,9900,15.360,19.460,20.480,3.072,9.216
16,4,9900,31.740,37.890,38.910,4.096,17.408
16,8,9900,68.610,75.780,77.820,6.144,32.768
36,1,9900,9.220,10.240,10.240,1.024,4.096
36,2,9900,18.430,19.460,20.480,2.048,5.120
36,4,9900,36.860,38.910,39.940,2.048,7.168
36,8,9900,73.730,77.820,78.850,3.072,12.288
72,1,9900,9.220,11.260,11.260,1.024,3.072
72,2,9900,20.480,21.500,22.530,1.024,3.072
72,4,9900,39.940,43.010,44.030,2.048,5.120
72,8,9900,79.870,86.020,88.060,2.048,7.168
144,1,9900,15.360,17.410,18.430,1.024,3.072
144,2,9900,31.740,34.820,36.860,1.024,3.072
144,4,9900,62.460,67.580,74.750,2.048,3.072
144,8,9900,123.900,131.070,138.240,2.048,5.120
216,1,9900,31.740,35.840,38.910,2.048,3.072
216,2,9900,62.460,69.630,75.780,2.048,3.072
216,4,9900,124.930,137.220,160.770,2.048,4.096
216,8,9900,249.860,275.460,323.580,2.048,5.120
288,1,9900,67.580,76.800,88.060,2.048,3.072
288,2,9900,131.070,145.410,164.860,2.048,3.072
288,4,9900,260.100,284.670,327.680,2.048,4.096
288,8,9900,517.120,555.010,601.090,2.048,5.120
