part,blocks,variant,dmax_p50_us,dmax_p99_us,source
A10,16,floor,1.02,1.02,log
A10,16,loaded,7.17,8.19,log
A10,36,floor,1.02,1.02,log
A10,36,loaded,7.17,8.19,log
A10,72,floor,1.02,1.02,log
A10,72,loaded,7.17,8.19,log
A10,144,floor,1.02,1.02,log
A10,144,loaded,8.19,9.22,log
A10,216,floor,1.02,1.02,log
A10,216,loaded,21.50,23.55,log
A100,108,floor,1.02,1.02,log
A100,108,loaded,6.14,7.17,log
A100,216,floor,1.02,1.02,log
A100,324,floor,1.02,1.02,log
A100,324,loaded,158.72,173.06,log
A10,288,floor,1.02,1.02,bin
A10,288,loaded,97.28,110.59,bin
A100,432,floor,1.02,1.02,bin
A100,432,loaded,3776.51,4853.76,bin
